country_code,is_eu_member,election_date,inflation_12m_avg,asylum_per_100k,ukraine_tp_per_100k,migration_pressure_index,unemployment_rate,gdp_growth,govt_change
AT,1,2017-10-15,2.091666666666667,0.5741567891447092,0.0,0.34967976677617296,5.966666666666665,0.6,1
AT,1,2019-09-29,1.6916666666666664,0.2622258720872807,0.0,-0.15616868150139818,4.95,0.2,1
BE,1,2019-05-26,2.3916666666666666,0.3979741118669525,0.0,0.06396992193276024,5.708333333333333,0.4,0
BG,1,2017-03-26,-0.85,0.4779168402798562,0.0,0.19361050229016544,8.158333333333333,0.6,1
BG,1,2021-11-14,2.3,0.3103128740651767,0.0,-0.07818751963932842,5.316666666666667,2.0,1
BG,1,2023-04-02,13.958333333333334,0.5792754326729955,0.022411057569276534,0.8109141610588907,4.058333333333334,0.4,1
CY,1,2016-05-22,-1.8083333333333333,0.5707577532752002,0.0,0.3441676584015022,13.625,2.0,0
CY,1,2021-05-30,-0.9166666666666666,1.772053066455544,0.0,2.2922700646260163,7.958333333333335,3.9,0
CZ,1,2017-10-21,2.3583333333333334,0.0241520320791922,0.0,-0.5422454567041668,3.1,0.6,1
CZ,1,2021-10-09,2.891666666666667,0.026536860604586866,0.0,-0.5383780561259904,2.9416666666666664,1.7,1
DE,1,2017-09-24,1.5749999999999995,0.5847919696906702,0.0,0.3669265008513839,3.591666666666667,0.8,0
DE,1,2021-09-26,1.7083333333333333,0.39799155387242896,0.0,0.0639982070783571,3.7083333333333335,0.2,1
DK,1,2015-06-18,0.2333333333333333,0.5246730621594904,0.0,0.26943358038787246,6.625,0.7,1
DK,1,2019-06-05,0.8249999999999998,0.11229605649662827,0.0,-0.39930509543086756,5.05,0.9,1
DK,1,2022-11-01,8.0,0.1557865774965863,0.014216589312530009,-0.04145671066253717,4.416666666666667,1.3,0
EE,1,2015-03-01,0.13333333333333336,0.027412468561325117,0.0,-0.5369581105483163,6.933333333333334,-1.4,0
EE,1,2019-03-03,3.1750000000000003,0.01471898069171661,0.0,-0.5575427361527397,4.908333333333332,1.9,0
EE,1,2023-03-05,20.591666666666665,0.6519587314881791,0.0644271402256707,1.7779389708386995,5.55,-1.3,0
ES,1,2016-06-26,-0.7166666666666668,0.0645319262737984,0.0,-0.4767626664355976,20.791666666666668,0.3,0
ES,1,2019-11-10,0.7999999999999999,0.46966096918918754,0.0,0.18022221869266122,14.166666666666666,0.2,0
FI,1,2015-04-19,0.7000000000000002,0.14328132136081434,0.0,-0.3490572767828289,9.016666666666666,-0.8,1
FI,1,2019-04-14,1.325,0.1329305486361797,0.0,-0.36584279573882983,6.966666666666668,0.9,1
FI,1,2023-04-02,7.891666666666668,0.15456589449619604,0.018511961782683946,0.04337440851612803,6.841666666666668,0.1,1
FR,1,2017-06-18,0.9,0.26250633589531214,0.0,-0.15571386226312242,9.766666666666666,0.7,0
FR,1,2022-06-19,3.908333333333333,0.4075312964341632,0.007445841088744689,0.22995100564931115,7.533333333333334,0.4,0
GB,0,2015-05-07,0.9333333333333336,,0.0,,5.75,,0
GB,0,2017-06-08,1.8500000000000003,,0.0,,4.633333333333333,,0
GB,0,2019-12-12,1.75,,0.0,,3.8499999999999996,,0
GB,0,2024-07-04,4.1,,0.0,,4.158333333333334,,1
GR,1,2015-01-25,,,,,,,1
GR,1,2015-09-20,,,,,,,0
GR,1,2019-07-07,,,,,,,1
GR,1,2023-06-25,,,,,,,1
HR,1,2015-11-08,-0.23333333333333336,0.008730146391399969,0.0,-0.567254638282816,16.241666666666664,1.7,1
HR,1,2016-09-11,-0.7916666666666666,0.06717314816944094,0.0,-0.4724794808826197,13.966666666666667,0.5,1
HR,1,2020-07-05,0.4666666666666666,0.08758078978296997,0.0,-0.43938505747441403,6.8,-13.9,0
HU,1,2018-04-08,2.2416666666666667,0.04540000648571521,0.0,-0.5077882923295229,3.7916666666666674,1.9,0
HU,1,2022-04-03,6.808333333333333,0.0007283773635715381,0.07361814067526616,0.9076120690594666,3.816666666666667,1.2,0
IE,1,2016-02-26,0.016666666666666677,0.13795187172337856,0.0,-0.3576998757746243,9.641666666666667,0.2,0
IE,1,2020-02-08,0.9249999999999999,0.18224075330167977,0.0,-0.2858780049781231,4.975,0.9,1
IT,1,2018-03-04,1.2083333333333333,0.36801503239134575,0.0,0.015386235495003259,11.125,-0.1,1
IT,1,2022-09-25,6.533333333333334,0.25586932016568553,0.02095539916876013,0.2570374956085622,8.391666666666666,0.2,1
LT,1,2016-10-09,0.375,0.0281464152345667,0.0,-0.5357678925690277,8.1,1.4,1
LT,1,2020-10-11,1.4249999999999998,0.023665674131852325,0.0,-0.543034167920388,8.174999999999999,5.9,1
LU,1,2018-10-14,1.9416666666666667,0.7167714553865832,0.0,0.5809534356404681,5.558333333333334,0.8,0
LV,1,2018-10-06,2.5166666666666666,0.018352142987491073,0.0,-0.5516509523981986,7.625,0.6,1
